"treatment","sex","subject","frequency","response","responsem1","responsem2","responsem3"
"cadmium","female","1","X1.7cm",0,0,0,1
"cadmium","female","2","X1.7cm",1,1,1,1
"cadmium","female","3","X1.7cm",1,1,1,1
"cadmium","female","4","X1.7cm",1,1,1,1
"cadmium","female","5","X1.7cm",0,0,0,1
"cadmium","female","6","X1.7cm",1,1,1,1
"cadmium","female","7","X1.7cm",-1,0,1,0
"cadmium","female","8","X1.7cm",1,1,1,1
"cadmium","female","9","X1.7cm",-1,0,1,0
"cadmium","male","10","X1.7cm",1,1,1,1
"cadmium","male","11","X1.7cm",1,1,1,1
"cadmium","male","12","X1.7cm",1,1,1,1
"cadmium","male","13","X1.7cm",1,1,1,1
"cadmium","male","14","X1.7cm",1,1,1,1
"cadmium","male","15","X1.7cm",0,0,0,1
"cadmium","male","16","X1.7cm",1,1,1,1
"cadmium","male","17","X1.7cm",1,1,1,1
"cadmium","male","18","X1.7cm",1,1,1,1
"cadmium","male","19","X1.7cm",-1,0,1,0
"cadmium","female","20","X1.7cm",1,1,1,1
"water","female","21","X1.7cm",-1,0,1,0
"water","female","22","X1.7cm",0,0,0,1
"water","female","23","X1.7cm",1,1,1,1
"water","female","24","X1.7cm",1,1,1,1
"water","female","25","X1.7cm",1,1,1,1
"water","female","26","X1.7cm",1,1,1,1
"water","female","27","X1.7cm",0,0,0,1
"water","female","28","X1.7cm",1,1,1,1
"water","female","29","X1.7cm",1,1,1,1
"water","female","30","X1.7cm",1,1,1,1
"water","female","31","X1.7cm",1,1,1,1
"water","male","32","X1.7cm",1,1,1,1
"water","male","33","X1.7cm",1,1,1,1
"water","male","34","X1.7cm",1,1,1,1
"water","male","35","X1.7cm",1,1,1,1
"water","male","36","X1.7cm",1,1,1,1
"water","male","37","X1.7cm",1,1,1,1
"water","male","38","X1.7cm",1,1,1,1
"water","male","39","X1.7cm",0,0,0,1
"water","male","40","X1.7cm",1,1,1,1
"cadmium","female","1","X1.5cm",0,0,0,1
"cadmium","female","2","X1.5cm",1,1,1,1
"cadmium","female","3","X1.5cm",1,1,1,1
"cadmium","female","4","X1.5cm",1,1,1,1
"cadmium","female","5","X1.5cm",1,1,1,1
"cadmium","female","6","X1.5cm",1,1,1,1
"cadmium","female","7","X1.5cm",1,1,1,1
"cadmium","female","8","X1.5cm",1,1,1,1
"cadmium","female","9","X1.5cm",0,0,0,1
"cadmium","male","10","X1.5cm",1,1,1,1
"cadmium","male","11","X1.5cm",1,1,1,1
"cadmium","male","12","X1.5cm",1,1,1,1
"cadmium","male","13","X1.5cm",1,1,1,1
"cadmium","male","14","X1.5cm",1,1,1,1
"cadmium","male","15","X1.5cm",1,1,1,1
"cadmium","male","16","X1.5cm",1,1,1,1
"cadmium","male","17","X1.5cm",1,1,1,1
"cadmium","male","18","X1.5cm",1,1,1,1
"cadmium","male","19","X1.5cm",1,1,1,1
"cadmium","female","20","X1.5cm",1,1,1,1
"water","female","21","X1.5cm",1,1,1,1
"water","female","22","X1.5cm",1,1,1,1
"water","female","23","X1.5cm",1,1,1,1
"water","female","24","X1.5cm",1,1,1,1
"water","female","25","X1.5cm",1,1,1,1
"water","female","26","X1.5cm",0,0,0,1
"water","female","27","X1.5cm",0,0,0,1
"water","female","28","X1.5cm",0,0,0,1
"water","female","29","X1.5cm",1,1,1,1
"water","female","30","X1.5cm",1,1,1,1
"water","female","31","X1.5cm",1,1,1,1
"water","male","32","X1.5cm",0,0,0,1
"water","male","33","X1.5cm",1,1,1,1
"water","male","34","X1.5cm",1,1,1,1
"water","male","35","X1.5cm",1,1,1,1
"water","male","36","X1.5cm",1,1,1,1
"water","male","37","X1.5cm",1,1,1,1
"water","male","38","X1.5cm",1,1,1,1
"water","male","39","X1.5cm",0,0,0,1
"water","male","40","X1.5cm",1,1,1,1
"cadmium","female","1","X1.45cm",1,1,1,1
"cadmium","female","2","X1.45cm",1,1,1,1
"cadmium","female","3","X1.45cm",1,1,1,1
"cadmium","female","4","X1.45cm",1,1,1,1
"cadmium","female","5","X1.45cm",1,1,1,1
"cadmium","female","6","X1.45cm",1,1,1,1
"cadmium","female","7","X1.45cm",-1,0,1,0
"cadmium","female","8","X1.45cm",1,1,1,1
"cadmium","female","9","X1.45cm",0,0,0,1
"cadmium","male","10","X1.45cm",1,1,1,1
"cadmium","male","11","X1.45cm",1,1,1,1
"cadmium","male","12","X1.45cm",1,1,1,1
"cadmium","male","13","X1.45cm",1,1,1,1
"cadmium","male","14","X1.45cm",1,1,1,1
"cadmium","male","15","X1.45cm",-1,0,1,0
"cadmium","male","16","X1.45cm",1,1,1,1
"cadmium","male","17","X1.45cm",1,1,1,1
"cadmium","male","18","X1.45cm",1,1,1,1
"cadmium","male","19","X1.45cm",1,1,1,1
"cadmium","female","20","X1.45cm",1,1,1,1
"water","female","21","X1.45cm",1,1,1,1
"water","female","22","X1.45cm",1,1,1,1
"water","female","23","X1.45cm",1,1,1,1
"water","female","24","X1.45cm",1,1,1,1
"water","female","25","X1.45cm",1,1,1,1
"water","female","26","X1.45cm",0,0,0,1
"water","female","27","X1.45cm",0,0,0,1
"water","female","28","X1.45cm",1,1,1,1
"water","female","29","X1.45cm",1,1,1,1
"water","female","30","X1.45cm",1,1,1,1
"water","female","31","X1.45cm",1,1,1,1
"water","male","32","X1.45cm",0,0,0,1
"water","male","33","X1.45cm",1,1,1,1
"water","male","34","X1.45cm",1,1,1,1
"water","male","35","X1.45cm",1,1,1,1
"water","male","36","X1.45cm",1,1,1,1
"water","male","37","X1.45cm",1,1,1,1
"water","male","38","X1.45cm",0,0,0,1
"water","male","39","X1.45cm",1,1,1,1
"water","male","40","X1.45cm",1,1,1,1
"cadmium","female","1","X0.95cm",0,0,0,1
"cadmium","female","2","X0.95cm",-1,0,1,0
"cadmium","female","3","X0.95cm",1,1,1,1
"cadmium","female","4","X0.95cm",1,1,1,1
"cadmium","female","5","X0.95cm",1,1,1,1
"cadmium","female","6","X0.95cm",1,1,1,1
"cadmium","female","7","X0.95cm",-1,0,1,0
"cadmium","female","8","X0.95cm",0,0,0,1
"cadmium","female","9","X0.95cm",0,0,0,1
"cadmium","male","10","X0.95cm",1,1,1,1
"cadmium","male","11","X0.95cm",1,1,1,1
"cadmium","male","12","X0.95cm",1,1,1,1
"cadmium","male","13","X0.95cm",1,1,1,1
"cadmium","male","14","X0.95cm",1,1,1,1
"cadmium","male","15","X0.95cm",1,1,1,1
"cadmium","male","16","X0.95cm",1,1,1,1
"cadmium","male","17","X0.95cm",-1,0,1,0
"cadmium","male","18","X0.95cm",0,0,0,1
"cadmium","male","19","X0.95cm",1,1,1,1
"cadmium","female","20","X0.95cm",0,0,0,1
"water","female","21","X0.95cm",-1,0,1,0
"water","female","22","X0.95cm",-1,0,1,0
"water","female","23","X0.95cm",1,1,1,1
"water","female","24","X0.95cm",0,0,0,1
"water","female","25","X0.95cm",0,0,0,1
"water","female","26","X0.95cm",0,0,0,1
"water","female","27","X0.95cm",0,0,0,1
"water","female","28","X0.95cm",0,0,0,1
"water","female","29","X0.95cm",-1,0,1,0
"water","female","30","X0.95cm",-1,0,1,0
"water","female","31","X0.95cm",1,1,1,1
"water","male","32","X0.95cm",-1,0,1,0
"water","male","33","X0.95cm",0,0,0,1
"water","male","34","X0.95cm",1,1,1,1
"water","male","35","X0.95cm",1,1,1,1
"water","male","36","X0.95cm",1,1,1,1
"water","male","37","X0.95cm",1,1,1,1
"water","male","38","X0.95cm",0,0,0,1
"water","male","39","X0.95cm",0,0,0,1
"water","male","40","X0.95cm",0,0,0,1
"cadmium","female","1","X0.65cm",0,0,0,1
"cadmium","female","2","X0.65cm",0,0,0,1
"cadmium","female","3","X0.65cm",0,0,0,1
"cadmium","female","4","X0.65cm",0,0,0,1
"cadmium","female","5","X0.65cm",0,0,0,1
"cadmium","female","6","X0.65cm",0,0,0,1
"cadmium","female","7","X0.65cm",1,1,1,1
"cadmium","female","8","X0.65cm",0,0,0,1
"cadmium","female","9","X0.65cm",0,0,0,1
"cadmium","male","10","X0.65cm",1,1,1,1
"cadmium","male","11","X0.65cm",1,1,1,1
"cadmium","male","12","X0.65cm",1,1,1,1
"cadmium","male","13","X0.65cm",1,1,1,1
"cadmium","male","14","X0.65cm",1,1,1,1
"cadmium","male","15","X0.65cm",-1,0,1,0
